time,max current,average current
1,20,1
2,20,1
3,20,1
4,20,1
5,20,1
6,20,1
7,20,1
8,20,1
9,20,1
10,20,1
11,20,1729
12,20,1766
13,20,1865
14,20,1718
15,20,1758
16,20,1854
17,20,1947
18,20,1847
19,20,1821
20,20,1835
21,20,1739
22,20,1742
23,20,1883
24,20,1728
25,20,1774
26,20,1792
27,20,1710
28,20,1576
29,20,1653
30,20,1653
31,20,1606
32,20,1740
33,20,1582
34,20,1542
35,20,1769
36,20,1776
37,20,1571
38,20,1632
39,20,1748
40,20,1844
41,20,1913
42,20,1884
43,20,1941
44,20,1927
45,20,1877
46,20,1788
47,20,1765
48,20,1935
49,20,1959
50,20,1903
51,20,1872
52,20,1811
53,20,1765
54,20,1571
55,20,1600
56,20,1535
57,20,1530
58,20,1581
59,20,1604
60,20,1585
61,20,1671
62,20,1574
63,20,1612
64,20,1566
65,20,1735
66,20,1899
67,20,1979
68,20,1986
69,20,2102
70,20,1897
71,20,1861
72,20,1786
73,20,1937
74,20,1774
75,20,1912
76,20,1777
77,20,1584
78,20,1685
79,20,1754
80,20,1744
81,20,1847
82,20,1932
83,20,1862
84,20,1760
85,20,1809
86,20,1748
87,20,1910
88,20,1965
89,20,1838
90,20,1826
91,20,1702
92,20,1605
93,20,1562
94,20,1722
95,20,1859
96,20,1857
97,20,1791
98,20,1693
99,20,1655
100,20,1593
101,20,1435
102,20,1547
103,20,1644
104,20,1574
105,20,1557
106,20,1466
107,20,1479
108,20,1464
109,20,1389
110,20,1422
111,20,1437
112,20,1439
113,20,1269
114,20,1294
115,20,1228
116,20,1233
117,20,1178
118,20,1187
119,20,1157
120,20,1297
121,20,1271
122,20,1275
123,20,1254
124,20,1252
125,20,1254
126,20,1300
127,20,1175
128,20,1212
129,20,1224
130,20,1447
131,20,1392
132,20,1528
133,20,1687
134,20,1783
135,20,1851
136,20,1833
137,20,1828
138,20,1823
139,20,1799
140,20,1728
141,20,1686
142,20,1709
143,20,1725
144,20,1736
145,20,1767
146,20,1736
147,20,1755
148,20,1865
149,20,2028
150,20,1932
151,20,1980
152,20,1800
153,20,1710
154,20,1547
155,20,1427
156,20,1307
157,20,1312
158,20,1216
159,20,1220
160,20,1229
161,20,1403
162,20,1550
163,20,1676
164,20,1753
165,20,1947
166,20,2058
167,20,2247
168,20,2194
169,20,2387
170,20,2355
171,20,2312
172,20,2251
173,20,2227
174,20,2200
175,20,2044
176,20,2025
177,20,1966
178,20,1753
179,20,1865
180,20,1664
181,20,1678
182,20,1606
183,20,1698
184,20,1673
185,20,1591
186,20,1727
187,20,1638
188,20,1612
189,20,1702
190,20,1809
191,20,1886
192,20,1753
193,20,1723
194,20,1676
195,20,1533
196,20,1602
197,20,1585
198,20,1682
199,20,1764
200,20,1763
201,20,1573
202,20,1672
203,20,1844
204,20,1944
205,20,1942
206,20,2113
207,20,2254
208,20,2273
209,20,2112
210,20,1937
211,20,2031
212,20,2207
213,20,2062
214,20,1861
215,20,1804
216,20,1773
217,20,1656
218,20,1465
219,20,1327
220,20,1508
221,20,1570
222,20,1594
223,20,1446
224,20,1415
225,20,1570
226,20,1594
227,20,1537
228,20,1494
229,20,1572
230,20,1704
231,20,1555
232,20,1596
233,20,1571
234,20,1662
235,20,1862
236,20,1885
237,20,1795
238,20,1766
239,20,1866
240,20,1890
241,20,1933
242,20,2024
243,20,1951
244,20,1992
245,20,1998
246,20,1827
247,20,1731
248,20,1886
249,20,2021
250,20,1947
